x,y
0.2313,0.2313
0.2385,0.2243
0.2458,0.2175
0.2533,0.2109
0.2610,0.2045
0.2689,0.1984
0.2769,0.1924
0.2851,0.1866
0.2934,0.1811
0.3019,0.1757
0.3105,0.1706
0.3192,0.1658
0.3281,0.1611
0.3371,0.1567
0.3462,0.1525
0.3554,0.1486
0.3647,0.1449
0.3740,0.1415
0.3835,0.1383
0.3931,0.1353
0.4027,0.1327
0.4124,0.1302
0.4222,0.1281
0.4320,0.1261
0.4419,0.1245
0.4518,0.1231
0.4617,0.1219
0.4717,0.1211
0.4817,0.1204
0.4917,0.1201
0.5017,0.1200
0.5117,0.1202
0.5217,0.1206
0.5316,0.1213
0.5416,0.1223
0.5515,0.1235
0.5614,0.1250
0.5713,0.1267
0.5811,0.1287
0.5908,0.1310
0.6005,0.1335
0.6101,0.1363
0.6196,0.1393
0.6291,0.1426
0.6385,0.1461
0.6477,0.1499
0.6569,0.1539
0.6659,0.1582
0.6749,0.1626
0.6837,0.1674
0.6924,0.1723
0.7010,0.1775
0.7094,0.1829
0.7177,0.1885
0.7258,0.1943
0.7337,0.2004
0.7416,0.2067
0.7492,0.2131
0.7567,0.2198
0.7639,0.2266
0.7710,0.2337
0.7780,0.2409
0.7847,0.2483
0.7912,0.2559
0.7975,0.2636
0.8037,0.2715
0.8096,0.2796
0.8153,0.2878
0.8207,0.2962
0.8260,0.3047
0.8310,0.3134
0.8358,0.3222
0.8404,0.3311
0.8447,0.3401
0.8488,0.3492
0.8526,0.3584
0.8563,0.3678
0.8596,0.3772
0.8627,0.3867
0.8656,0.3963
0.8682,0.4060
0.8705,0.4157
0.8726,0.4255
0.8744,0.4353
0.8760,0.4452
0.8773,0.4551
0.8784,0.4650
0.8792,0.4750
0.8797,0.4850
0.8800,0.4950
0.8800,0.5050
0.8797,0.5150
0.8792,0.5250
0.8784,0.5350
0.8773,0.5449
0.8760,0.5548
0.8744,0.5647
0.8726,0.5745
0.8705,0.5843
0.8682,0.5940
0.8656,0.6037
0.8627,0.6133
0.8596,0.6228
0.8563,0.6322
0.8526,0.6416
0.8488,0.6508
0.8447,0.6599
0.8404,0.6689
0.8358,0.6778
0.8310,0.6866
0.8260,0.6953
0.8207,0.7038
0.8153,0.7122
0.8096,0.7204
0.8037,0.7285
0.7975,0.7364
0.7912,0.7441
0.7847,0.7517
0.7780,0.7591
0.7710,0.7663
0.7639,0.7734
0.7567,0.7802
0.7492,0.7869
0.7416,0.7933
0.7337,0.7996
0.7258,0.8057
0.7177,0.8115
0.7094,0.8171
0.7010,0.8225
0.6924,0.8277
0.6837,0.8326
0.6749,0.8374
0.6659,0.8418
0.6569,0.8461
0.6477,0.8501
0.6385,0.8539
0.6291,0.8574
0.6196,0.8607
0.6101,0.8637
0.6005,0.8665
0.5908,0.8690
0.5811,0.8713
0.5713,0.8733
0.5614,0.8750
0.5515,0.8765
0.5416,0.8777
0.5316,0.8787
0.5217,0.8794
0.5117,0.8798
0.5017,0.8800
0.4917,0.8799
0.4817,0.8796
0.4717,0.8789
0.4617,0.8781
0.4518,0.8769
0.4419,0.8755
0.4320,0.8739
0.4222,0.8719
0.4124,0.8698
0.4027,0.8673
0.3931,0.8647
0.3835,0.8617
0.3740,0.8585
0.3647,0.8551
0.3554,0.8514
0.3462,0.8475
0.3371,0.8433
0.3281,0.8389
0.3192,0.8342
0.3105,0.8294
