x,y
0.6800,0.5000
0.6798,0.5094
0.6790,0.5188
0.6778,0.5282
0.6761,0.5374
0.6739,0.5466
0.6712,0.5556
0.6680,0.5645
0.6644,0.5732
0.6604,0.5817
0.6559,0.5900
0.6510,0.5980
0.6456,0.6058
0.6399,0.6133
0.6338,0.6204
0.6273,0.6273
0.6204,0.6338
0.6133,0.6399
0.6058,0.6456
0.5980,0.6510
0.5900,0.6559
0.5817,0.6604
0.5732,0.6644
0.5645,0.6680
0.5556,0.6712
0.5466,0.6739
0.5374,0.6761
0.5282,0.6778
0.5188,0.6790
0.5094,0.6798
0.5000,0.6800
0.4906,0.6798
0.4812,0.6790
0.4718,0.6778
0.4626,0.6761
0.4534,0.6739
0.4444,0.6712
0.4355,0.6680
0.4268,0.6644
0.4183,0.6604
0.4100,0.6559
0.4020,0.6510
0.3942,0.6456
0.3867,0.6399
0.3796,0.6338
0.3727,0.6273
0.3662,0.6204
0.3601,0.6133
0.3544,0.6058
0.3490,0.5980
0.3441,0.5900
0.3396,0.5817
0.3356,0.5732
0.3320,0.5645
0.3288,0.5556
0.3261,0.5466
0.3239,0.5374
0.3222,0.5282
0.3210,0.5188
0.3202,0.5094
0.3200,0.5000
0.3202,0.4906
0.3210,0.4812
0.3222,0.4718
0.3239,0.4626
0.3261,0.4534
0.3288,0.4444
0.3320,0.4355
0.3356,0.4268
0.3396,0.4183
0.3441,0.4100
0.3490,0.4020
0.3544,0.3942
0.3601,0.3867
0.3662,0.3796
0.3727,0.3727
0.3796,0.3662
0.3867,0.3601
0.3942,0.3544
0.4020,0.3490
0.4100,0.3441
0.4183,0.3396
0.4268,0.3356
0.4355,0.3320
0.4444,0.3288
0.4534,0.3261
0.4626,0.3239
0.4718,0.3222
0.4812,0.3210
0.4906,0.3202
0.5000,0.3200
0.5094,0.3202
0.5188,0.3210
0.5282,0.3222
0.5374,0.3239
0.5466,0.3261
0.5556,0.3288
0.5645,0.3320
0.5732,0.3356
0.5817,0.3396
0.5900,0.3441
0.5980,0.3490
0.6058,0.3544
0.6133,0.3601
0.6204,0.3662
0.6273,0.3727
0.6338,0.3796
0.6399,0.3867
0.6456,0.3942
0.6510,0.4020
0.6559,0.4100
0.6604,0.4183
0.6644,0.4268
0.6680,0.4355
0.6712,0.4444
0.6739,0.4534
0.6761,0.4626
0.6778,0.4718
0.6790,0.4812
0.6798,0.4906
0.8709,0.3502
0.8722,0.3546
0.8727,0.3594
0.8725,0.3644
0.8714,0.3697
0.8696,0.3754
0.8670,0.3813
0.8636,0.3874
0.8594,0.3938
0.8544,0.4004
0.8487,0.4072
0.8422,0.4142
0.8350,0.4214
0.8271,0.4288
0.8185,0.4363
0.8093,0.4440
0.7993,0.4517
0.7887,0.4596
0.7775,0.4676
0.7658,0.4756
0.7534,0.4837
0.7405,0.4918
0.7271,0.4999
0.7132,0.5081
0.6988,0.5162
0.6841,0.5243
0.6689,0.5323
0.6534,0.5403
0.6375,0.5482
0.6214,0.5559
0.6050,0.5636
0.5883,0.5711
0.5715,0.5785
0.5545,0.5857
0.5375,0.5927
0.5203,0.5995
0.5031,0.6061
0.4859,0.6125
0.4687,0.6187
0.4516,0.6246
0.4345,0.6302
0.4177,0.6355
0.4010,0.6406
0.3845,0.6453
0.3682,0.6498
0.3523,0.6539
0.3366,0.6577
0.3213,0.6612
0.3064,0.6643
0.2919,0.6671
0.2778,0.6695
0.2642,0.6715
0.2512,0.6732
0.2386,0.6745
0.2266,0.6755
0.2152,0.6760
0.2044,0.6762
0.1942,0.6760
0.1847,0.6755
0.1759,0.6745
0.1677,0.6732
0.1603,0.6715
0.1535,0.6695
0.1476,0.6671
0.1423,0.6643
0.1379,0.6612
0.1342,0.6578
0.1313,0.6540
0.1291,0.6498
0.1278,0.6454
0.1273,0.6406
0.1275,0.6356
0.1286,0.6303
0.1304,0.6246
0.1330,0.6187
0.1364,0.6126
0.1406,0.6062
0.1456,0.5996
0.1513,0.5928
0.1578,0.5858
0.1650,0.5786
0.1729,0.5712
0.1815,0.5637
0.1907,0.5560
0.2007,0.5483
0.2113,0.5404
0.2225,0.5324
0.2342,0.5244
0.2466,0.5163
0.2595,0.5082
0.2729,0.5001
0.2868,0.4919
0.3012,0.4838
0.3159,0.4757
0.3311,0.4677
0.3466,0.4597
0.3625,0.4518
0.3786,0.4441
0.3950,0.4364
0.4117,0.4289
0.4285,0.4215
0.4455,0.4143
0.4625,0.4073
0.4797,0.4005
0.4969,0.3939
0.5141,0.3875
0.5313,0.3813
0.5484,0.3754
0.5655,0.3698
0.5823,0.3645
0.5990,0.3594
0.6155,0.3547
0.6318,0.3502
0.6477,0.3461
0.6634,0.3423
0.6787,0.3388
0.6936,0.3357
0.7081,0.3329
0.7222,0.3305
0.7358,0.3285
0.7488,0.3268
0.7614,0.3255
0.7734,0.3245
0.7848,0.3240
0.7956,0.3238
0.8058,0.3240
0.8153,0.3245
0.8241,0.3255
0.8323,0.3268
0.8397,0.3285
0.8465,0.3305
0.8524,0.3329
0.8577,0.3357
0.8621,0.3388
0.8658,0.3422
0.8687,0.3460
