x,y
0.9200,0.5000
0.9195,0.5103
0.9182,0.5205
0.9160,0.5307
0.9128,0.5407
0.9089,0.5504
0.9041,0.5599
0.8985,0.5691
0.8921,0.5780
0.8850,0.5865
0.8773,0.5945
0.8689,0.6021
0.8599,0.6092
0.8505,0.6158
0.8405,0.6219
0.8302,0.6274
0.8196,0.6324
0.8087,0.6368
0.7976,0.6407
0.7863,0.6441
0.7749,0.6470
0.7636,0.6493
0.7523,0.6512
0.7410,0.6526
0.7300,0.6537
0.7191,0.6543
0.7085,0.6546
0.6982,0.6547
0.6882,0.6544
0.6786,0.6540
0.6693,0.6535
0.6605,0.6528
0.6521,0.6521
0.6442,0.6515
0.6367,0.6509
0.6297,0.6504
0.6232,0.6501
0.6171,0.6500
0.6114,0.6502
0.6061,0.6507
0.6013,0.6516
0.5968,0.6528
0.5926,0.6545
0.5887,0.6566
0.5851,0.6593
0.5817,0.6624
0.5785,0.6660
0.5754,0.6701
0.5724,0.6747
0.5694,0.6799
0.5664,0.6856
0.5633,0.6917
0.5602,0.6983
0.5568,0.7054
0.5533,0.7128
0.5496,0.7207
0.5455,0.7288
0.5412,0.7373
0.5365,0.7460
0.5314,0.7549
0.5260,0.7639
0.5201,0.7730
0.5139,0.7821
0.5071,0.7911
0.5000,0.8000
0.4924,0.8087
0.4844,0.8172
0.4760,0.8254
0.4672,0.8332
0.4580,0.8406
0.4485,0.8475
0.4386,0.8539
0.4285,0.8596
0.4181,0.8647
0.4075,0.8692
0.3968,0.8729
0.3860,0.8758
0.3751,0.8780
0.3643,0.8794
0.3535,0.8799
0.3428,0.8796
0.3323,0.8784
0.3220,0.8764
0.3120,0.8736
0.3023,0.8699
0.2930,0.8654
0.2842,0.8601
0.2758,0.8541
0.2679,0.8473
0.2607,0.8398
0.2540,0.8317
0.2479,0.8230
0.2425,0.8137
0.2378,0.8039
0.2338,0.7937
0.2305,0.7831
0.2279,0.7721
0.2260,0.7609
0.2247,0.7495
0.2242,0.7379
0.2244,0.7262
0.2252,0.7145
0.2266,0.7028
0.2286,0.6912
0.2311,0.6797
0.2341,0.6684
0.2376,0.6573
0.2415,0.6464
0.2458,0.6359
0.2504,0.6257
0.2552,0.6158
0.2601,0.6063
0.2653,0.5972
0.2704,0.5886
0.2756,0.5803
0.2808,0.5724
0.2858,0.5650
0.2906,0.5579
0.2952,0.5513
0.2996,0.5450
0.3036,0.5391
0.3073,0.5334
0.3106,0.5281
0.3134,0.5230
0.3157,0.5181
0.3176,0.5135
0.3189,0.5089
0.3197,0.5044
0.3200,0.5000
0.3197,0.4956
0.3189,0.4911
0.3176,0.4865
0.3157,0.4819
0.3134,0.4770
0.3106,0.4719
0.3073,0.4666
0.3036,0.4609
0.2996,0.4550
0.2952,0.4487
0.2906,0.4421
0.2858,0.4350
0.2808,0.4276
0.2756,0.4197
0.2704,0.4114
0.2653,0.4028
0.2601,0.3937
0.2552,0.3842
0.2504,0.3743
0.2458,0.3641
0.2415,0.3536
0.2376,0.3427
0.2341,0.3316
0.2311,0.3203
0.2286,0.3088
0.2266,0.2972
0.2252,0.2855
0.2244,0.2738
0.2242,0.2621
0.2247,0.2505
0.2260,0.2391
0.2279,0.2279
0.2305,0.2169
0.2338,0.2063
0.2378,0.1961
0.2425,0.1863
0.2479,0.1770
0.2540,0.1683
0.2607,0.1602
0.2679,0.1527
0.2758,0.1459
0.2842,0.1399
0.2930,0.1346
0.3023,0.1301
0.3120,0.1264
0.3220,0.1236
0.3323,0.1216
0.3428,0.1204
0.3535,0.1201
0.3643,0.1206
0.3751,0.1220
0.3860,0.1242
0.3968,0.1271
0.4075,0.1308
0.4181,0.1353
0.4285,0.1404
0.4386,0.1461
0.4485,0.1525
0.4580,0.1594
0.4672,0.1668
0.4760,0.1746
0.4844,0.1828
0.4924,0.1913
0.5000,0.2000
0.5071,0.2089
0.5139,0.2179
0.5201,0.2270
0.5260,0.2361
0.5314,0.2451
0.5365,0.2540
0.5412,0.2627
0.5455,0.2712
0.5496,0.2793
0.5533,0.2872
0.5568,0.2946
0.5602,0.3017
0.5633,0.3083
0.5664,0.3144
0.5694,0.3201
0.5724,0.3253
0.5754,0.3299
0.5785,0.3340
0.5817,0.3376
0.5851,0.3407
0.5887,0.3434
0.5926,0.3455
0.5968,0.3472
0.6013,0.3484
0.6061,0.3493
0.6114,0.3498
0.6171,0.3500
0.6232,0.3499
0.6297,0.3496
0.6367,0.3491
0.6442,0.3485
0.6521,0.3479
0.6605,0.3472
0.6693,0.3465
0.6786,0.3460
0.6882,0.3456
0.6982,0.3453
0.7085,0.3454
0.7191,0.3457
0.7300,0.3463
0.7410,0.3474
0.7523,0.3488
0.7636,0.3507
0.7749,0.3530
0.7863,0.3559
0.7976,0.3593
0.8087,0.3632
0.8196,0.3676
0.8302,0.3726
0.8405,0.3781
0.8505,0.3842
0.8599,0.3908
0.8689,0.3979
0.8773,0.4055
0.8850,0.4135
0.8921,0.4220
0.8985,0.4309
0.9041,0.4401
0.9089,0.4496
0.9128,0.4593
0.9160,0.4693
0.9182,0.4795
0.9195,0.4897
